,Age,Sex,Embarked,Survived
823,27.0,female,S,Yes
824,2.0,male,S,No
825,,male,Q,No
826,,male,S,No
827,1.0,male,C,Yes
828,,male,Q,Yes
829,62.0,female,,Yes
830,15.0,female,C,Yes
831,0.83,male,S,Yes
832,,male,C,No
833,23.0,male,S,No
834,18.0,male,S,No
835,39.0,female,C,Yes
836,21.0,male,S,No
837,,male,S,No
838,32.0,male,S,Yes
839,,male,C,Yes
840,20.0,male,S,No
841,16.0,male,S,No
842,30.0,female,C,Yes
843,34.5,male,C,No
844,17.0,male,S,No
845,42.0,male,S,Unknown
846,,male,S,No
847,35.0,male,C,No
848,28.0,male,S,No
849,,female,C,Unknown
850,4.0,male,S,Unknown
851,74.0,male,S,No
852,9.0,female,C,Unknown
853,16.0,female,S,Yes
854,44.0,female,S,No
855,18.0,female,S,Yes
856,45.0,female,S,Yes
857,51.0,male,S,Yes
858,24.0,female,C,Yes
859,,male,C,No
860,41.0,male,S,No
861,21.0,male,S,No
862,48.0,female,S,Yes
863,,female,S,No
864,24.0,male,S,Unknown
865,42.0,female,S,Unknown
866,27.0,female,C,Unknown
867,31.0,male,S,No
868,,male,S,No
869,4.0,male,S,Yes
870,26.0,male,S,No
871,47.0,female,S,Unknown
872,33.0,male,S,No
873,47.0,male,S,No
874,28.0,female,C,Yes
875,15.0,female,C,Yes
876,20.0,male,S,No
877,19.0,male,S,No
878,,male,S,No
879,56.0,female,C,Yes
880,25.0,female,S,Yes
881,33.0,male,S,No
882,22.0,female,S,No
883,28.0,male,S,Unknown
884,25.0,male,S,No
885,39.0,female,Q,No
886,27.0,male,S,No
887,19.0,female,S,Yes
888,,female,S,No
889,26.0,male,C,Unknown
890,32.0,male,Q,No
